
[D1] :: 2000-2004.00 -> 2001-2005.01 -> 2002-2006.00 -> 2003-2007.00 -> 2004-2008.00 (132)
    <2000-2004.00 150> poverty, charter, income, afdc, schooling, family, school, earnings, college, consumption
    <2001-2005.05 076> knowledge, learning, tacit, knowledge management, knowledge sharing, tacit knowledge, sharing, organizational learning, leadership, software
    <2002-2006.08 069> knowledge, learning, knowledge management, knowledge sharing, tacit knowledge, sharing, organizational learning, quadrant, tacit, tacitness
    <2003-2007.09 207> nasa, programme, knowledge, ijv, learning, manufacturing strategy, klm, knowledge management, business process, npi
    <2004-2008.07 136> alliance, knowledge, construction, knowledge management, tacit, tacit knowing, smes, alliance experience, knowledge sharing, tier
    <2005-2009.10 198> alliance, knowledge, cultural, construction, knowledge management, web, tacit, tacit knowing, smes, learning
    <2006-2010.12 151> knowledge, alliance, knowledge creation, construction, knowledge management, web, tacit knowing, tacit, smes, knowledge transfer
    <2007-2011.12 199> knowledge, alliance, open innovation, knowledge creation, smes, innovation, construction, knowledge management, web, tacit knowing
    <2008-2012.13 065> construction, knowledge, knowledge management, web, knowledge transfer, subsidiary, tacit, tacit knowledge, tacit knowing, transfer
    <2009-2013.13 188> pkm, policy, subsidiary, knowledge creation, alliance, smes, open innovation, host unit, innovation, knowledge management
    <2010-2014.10 158> ambidexterity, pkm, policy, subsidiary, design, knowledge creation, smes, innovation, knowledge management, knowledge
    <2011-2015.15 042> knowledge management, knowledge, tacit, tacit knowing, tacit knowledge, knowledge transfer, project, transfer, knowledge manager, tacit knowledge sharing
    <2012-2016.15 048> kios, knowledge, socialization, tacit, tacit knowledge, hrd, knowledge management, knowledge transfer, transfer, knowledge manager
    <2013-2017.08 114> cop, alliance, trust, knowledge, knowledge sharing, socialization, ignorance, knowledge creation, lsp, kios
    <2014-2018.12 098> cop, knowledge, trust, ignorance, socialization, knowledge sharing, knowledge breadth, knowledge creation, knowledge management, kios
    <2015-2019.18 097> park, stp, knowledge, knowledge management, motivation, intrinsic motivation, ignorance, social capital, knowledge sharing, knowledge creation
    <2016-2020.17 121> family, park, stp, knowledge, knowledge management, knowledge integration, intrinsic motivation, organizational learning, seci, knowledge sharing
    <2017-2021.11 088> family, erp, knowledge, knowledge integration, intrinsic motivation, knowledge creation, motivation, knowledge sharing behaviour, erm, work family

[D6] :: 2001-2005.02 -> 2002-2006.04 -> 2003-2007.07 -> 2004-2008.05 -> 2005-2009.06 -> 2006-2010.09 -> 2007-2011.12 -> 2008-2012.14 -> 2009-2013.13 -> 2010-2014.10 -> 2011-2015.11 -> 2012-2016.07 -> 2013-2017.09 -> 2014-2018.14 -> 2015-2019.08 (114)
    <2001-2005.02 058> innovation, service, regional, biotechnology, biotech, networking, web, web service, technological, nigeria
    <2002-2006.04 039> innovation, regional, software, networking, service, innovation process, taxonomy, concept, national, pavitt
    <2003-2007.07 043> asp, outsourcing, innovation, regional, networking, service, innovation process, taxonomy, outsource, pavitt
    <2004-2008.05 034> innovation, regional, knowledge sourcing, policy, persistence, service, innovation process, innovation intermediary, intermediary, outsourcing
    <2005-2009.06 071> outsourcing, regional, bsc, innovation, smes, knowledge sourcing, policy, patenting, regional development, performance measurement
    <2006-2010.09 033> smes, open innovation, innovation, innovation process, intermediary, outsource, outsourcing, innovation intermediary, service, cooperation
    <2007-2011.12 199> knowledge, alliance, open innovation, knowledge creation, smes, innovation, construction, knowledge management, web, tacit knowing
    <2008-2012.14 058> knowledge creation, smes, open innovation, innovation, knowledge, knowledge sharing, police, sharing, facilitator, consultancy
    <2009-2013.13 188> pkm, policy, subsidiary, knowledge creation, alliance, smes, open innovation, host unit, innovation, knowledge management
    <2010-2014.10 158> ambidexterity, pkm, policy, subsidiary, design, knowledge creation, smes, innovation, knowledge management, knowledge
    <2011-2015.11 053> policy, design, innovation, product design, ipp, collaboration, innovation policy, regulation, product form, eeg
    <2012-2016.07 069> innovation, regional innovation, policy, process innovation, policy mix, offshore wind, human capital, open innovation, innovation policy, exporting
    <2013-2017.09 042> innovation, open innovation, regional innovation, policy, policy mix, offshore wind, innovation policy, persistency, persistence, wind
    <2014-2018.14 252> evm, ppm, erp, acap, portfolio, pms, stakeholder, knowledge protection, governmentality, project
    <2015-2019.08 044> crowdsourcing, ecosystem, open innovation, wikipedia, keywords, crowd, evp, solar, innovation ecosystem, crowdsourcing project

[D7] :: 2002-2006.03 -> 2003-2007.03 -> 2004-2008.04 -> 2005-2009.04 -> 2006-2010.07 (45)
    <2002-2006.03 061> csr, export, fdi, corruption, diversification, tfp, exporting, international diversification, mne, product diversification
    <2003-2007.03 035> csr, corruption, diversification, relatedness, international diversification, electrical machinery, ois, assimilation capacity, technological diversification, geographic diversification
    <2004-2008.04 051> csr, bribery, corruption, fdi, export performance, export, exporting, mnes, local, outward fdi
    <2005-2009.04 044> csr, bribery, corruption, fdi, hmt, export, venturing, outward fdi, foreign, social
    <2006-2010.07 033> bribery, corruption, fdi, export, export performance, hmt, exporting, outward fdi, foreign, control of corruption

[D8] :: 2003-2007.04 -> 2004-2008.02 -> 2005-2009.01 -> 2006-2010.01 -> 2007-2011.03 (75)
    <2003-2007.04 041> emotion, chapter, grounded theory, virtuality, sem, hlm, virtual, structuration, virtual work, theory
    <2004-2008.02 067> emotion, chapter, affective, grounded theory, content analysis, virtuality, sem, qualitative, effect size, virtual
    <2005-2009.01 046> chapter, grounded theory, sem, effect size, qualitative, theory, strategic management, qualitative research, grounded, book
    <2006-2010.01 060> chapter, lgm, grounded theory, content analysis, interpretivist, cfa, sem, qualitative, effect size, theory
    <2007-2011.03 080> procurement, chapter, online, content analysis, multivariate, internet, clarke, public procurement, qualitative, transformative

[D9] :: 2003-2007.08 -> 2004-2008.07 -> 2005-2009.10 -> 2006-2010.12 -> 2007-2011.12 -> 2008-2012.13 -> 2009-2013.13 -> 2010-2014.10 -> 2011-2015.15 -> 2012-2016.15 -> 2013-2017.08 -> 2014-2018.12 -> 2015-2019.18 -> 2016-2020.17 -> 2017-2021.11 (27)
    <2003-2007.08 033> alliance, singapore, interpartner, alliance experience, legitimacy, eco, learning intent, cospecialized, joint, alliance management
    <2004-2008.07 136> alliance, knowledge, construction, knowledge management, tacit, tacit knowing, smes, alliance experience, knowledge sharing, tier
    <2005-2009.10 198> alliance, knowledge, cultural, construction, knowledge management, web, tacit, tacit knowing, smes, learning
    <2006-2010.12 151> knowledge, alliance, knowledge creation, construction, knowledge management, web, tacit knowing, tacit, smes, knowledge transfer
    <2007-2011.12 199> knowledge, alliance, open innovation, knowledge creation, smes, innovation, construction, knowledge management, web, tacit knowing
    <2008-2012.13 065> construction, knowledge, knowledge management, web, knowledge transfer, subsidiary, tacit, tacit knowledge, tacit knowing, transfer
    <2009-2013.13 188> pkm, policy, subsidiary, knowledge creation, alliance, smes, open innovation, host unit, innovation, knowledge management
    <2010-2014.10 158> ambidexterity, pkm, policy, subsidiary, design, knowledge creation, smes, innovation, knowledge management, knowledge
    <2011-2015.15 042> knowledge management, knowledge, tacit, tacit knowing, tacit knowledge, knowledge transfer, project, transfer, knowledge manager, tacit knowledge sharing
    <2012-2016.15 048> kios, knowledge, socialization, tacit, tacit knowledge, hrd, knowledge management, knowledge transfer, transfer, knowledge manager
    <2013-2017.08 114> cop, alliance, trust, knowledge, knowledge sharing, socialization, ignorance, knowledge creation, lsp, kios
    <2014-2018.12 098> cop, knowledge, trust, ignorance, socialization, knowledge sharing, knowledge breadth, knowledge creation, knowledge management, kios
    <2015-2019.18 097> park, stp, knowledge, knowledge management, motivation, intrinsic motivation, ignorance, social capital, knowledge sharing, knowledge creation
    <2016-2020.17 121> family, park, stp, knowledge, knowledge management, knowledge integration, intrinsic motivation, organizational learning, seci, knowledge sharing
    <2017-2021.11 088> family, erp, knowledge, knowledge integration, intrinsic motivation, knowledge creation, motivation, knowledge sharing behaviour, erm, work family

[D10] :: 2003-2007.11 -> 2004-2008.08 -> 2005-2009.10 -> 2006-2010.12 -> 2007-2011.12 -> 2008-2012.13 (2)
    See similar trends: D3: 17%, D11: 33%
    <2003-2007.11 093> logistics, scm, flexibility, agent, reverse logistics, volume flexibility, risk, risk management, supply chain, olympic
    <2004-2008.08 101> hrm, pmo, project, project management, project marketing, pmbok, risk, risk management, pmos, success
    <2005-2009.10 198> alliance, knowledge, cultural, construction, knowledge management, web, tacit, tacit knowing, smes, learning
    <2006-2010.12 151> knowledge, alliance, knowledge creation, construction, knowledge management, web, tacit knowing, tacit, smes, knowledge transfer
    <2007-2011.12 199> knowledge, alliance, open innovation, knowledge creation, smes, innovation, construction, knowledge management, web, tacit knowing
    <2008-2012.13 065> construction, knowledge, knowledge management, web, knowledge transfer, subsidiary, tacit, tacit knowledge, tacit knowing, transfer

[D11] :: 2003-2007.11 -> 2004-2008.08 -> 2005-2009.12 -> 2006-2010.11 -> 2007-2011.11 -> 2008-2012.10 -> 2009-2013.10 -> 2010-2014.05 -> 2011-2015.06 (9)
    See similar trends: D3: 56%
    <2003-2007.11 093> logistics, scm, flexibility, agent, reverse logistics, volume flexibility, risk, risk management, supply chain, olympic
    <2004-2008.08 101> hrm, pmo, project, project management, project marketing, pmbok, risk, risk management, pmos, success
    <2005-2009.12 138> hrm, project, pmo, stakeholder, project management, project strategy, multiple project, risk, pmbok, success
    <2006-2010.11 146> hrm, pmo, leadership, project, stakeholder, project management, project based, project strategy, multiple project, pmbok
    <2007-2011.11 161> ihrm, hrm, pmo, leadership, programme, project, programme management, distributed leadership, stakeholder, project management
    <2008-2012.10 129> rfid, scm, jit, tqm, crisis, lean, sscm, edi, ict, mixed
    <2009-2013.10 130> erp, rfid, scm, lean, crisis, stockouts, auction, resilience, green, ict
    <2010-2014.05 163> erp, rfid, scm, lean, green, ebay, stockouts, sci, auction, ict
    <2011-2015.06 114> sscm, scm, green, rfid, sci, ict, sustainability, mixed, gscm, environmental management

[D12] :: 2004-2008.07 -> 2005-2009.10 -> 2006-2010.12 -> 2007-2011.12 -> 2008-2012.14 -> 2009-2013.13 -> 2010-2014.10 -> 2011-2015.11 -> 2012-2016.07 -> 2013-2017.09 -> 2014-2018.14 -> 2015-2019.08 (19)
    See similar trends: D5: 50%, D9: 50%
    <2004-2008.07 136> alliance, knowledge, construction, knowledge management, tacit, tacit knowing, smes, alliance experience, knowledge sharing, tier
    <2005-2009.10 198> alliance, knowledge, cultural, construction, knowledge management, web, tacit, tacit knowing, smes, learning
    <2006-2010.12 151> knowledge, alliance, knowledge creation, construction, knowledge management, web, tacit knowing, tacit, smes, knowledge transfer
    <2007-2011.12 199> knowledge, alliance, open innovation, knowledge creation, smes, innovation, construction, knowledge management, web, tacit knowing
    <2008-2012.14 058> knowledge creation, smes, open innovation, innovation, knowledge, knowledge sharing, police, sharing, facilitator, consultancy
    <2009-2013.13 188> pkm, policy, subsidiary, knowledge creation, alliance, smes, open innovation, host unit, innovation, knowledge management
    <2010-2014.10 158> ambidexterity, pkm, policy, subsidiary, design, knowledge creation, smes, innovation, knowledge management, knowledge
    <2011-2015.11 053> policy, design, innovation, product design, ipp, collaboration, innovation policy, regulation, product form, eeg
    <2012-2016.07 069> innovation, regional innovation, policy, process innovation, policy mix, offshore wind, human capital, open innovation, innovation policy, exporting
    <2013-2017.09 042> innovation, open innovation, regional innovation, policy, policy mix, offshore wind, innovation policy, persistency, persistence, wind
    <2014-2018.14 252> evm, ppm, erp, acap, portfolio, pms, stakeholder, knowledge protection, governmentality, project
    <2015-2019.08 044> crowdsourcing, ecosystem, open innovation, wikipedia, keywords, crowd, evp, solar, innovation ecosystem, crowdsourcing project

[D13] :: 2004-2008.08 -> 2005-2009.12 -> 2006-2010.11 -> 2007-2011.11 -> 2008-2012.12 -> 2009-2013.11 -> 2010-2014.08 -> 2011-2015.13 -> 2012-2016.16 -> 2013-2017.12 -> 2014-2018.14 -> 2015-2019.20 -> 2016-2020.19 -> 2017-2021.11 (277)
    See similar trends: D4: 29%
    <2004-2008.08 101> hrm, pmo, project, project management, project marketing, pmbok, risk, risk management, pmos, success
    <2005-2009.12 138> hrm, project, pmo, stakeholder, project management, project strategy, multiple project, risk, pmbok, success
    <2006-2010.11 146> hrm, pmo, leadership, project, stakeholder, project management, project based, project strategy, multiple project, pmbok
    <2007-2011.11 161> ihrm, hrm, pmo, leadership, programme, project, programme management, distributed leadership, stakeholder, project management
    <2008-2012.12 151> hrm, leadership, programme, project, change management, leadership development, programme management, distributed leadership, stakeholder, leader
    <2009-2013.11 094> career, programme, programme management, change management, csfs, project management, stakeholder, project, kpis, project based
    <2010-2014.08 195> npd, programme, portfolio, team, ppm, nuclear, change management, governance, openness, csfs
    <2011-2015.13 133> ppm, portfolio, stakeholder, change management, nuclear, governance, csfs, front end, risk management, agile
    <2012-2016.16 234> erp, lean, mncs, ppm, portfolio, stakeholder, change management, subsidiary, project, governance
    <2013-2017.12 173> erp, lean, ppm, portfolio, stakeholder, governmentality, project, risk management, accountability, project management
    <2014-2018.14 252> evm, ppm, erp, acap, portfolio, pms, stakeholder, knowledge protection, governmentality, project
    <2015-2019.20 221> ppm, erp, certification, megaprojects, pms, stakeholder, governmentality, sustainability, project, msr
    <2016-2020.19 134> ppm, storytelling, certification, megaprojects, sustainability, international development, stakeholder, accountability, project, msr
    <2017-2021.11 088> family, erp, knowledge, knowledge integration, intrinsic motivation, knowledge creation, motivation, knowledge sharing behaviour, erm, work family

[D14] :: 2005-2009.07 -> 2006-2010.08 -> 2007-2011.09 -> 2008-2012.09 -> 2009-2013.09 -> 2010-2014.08 -> 2011-2015.07 -> 2012-2016.12 -> 2013-2017.13 -> 2014-2018.15 -> 2015-2019.14 -> 2016-2020.08 (113)
    <2005-2009.07 036> jpim, npd, teamwork, team, team learning, creative performance, danish, downsizing, usage, anxiety
    <2006-2010.08 054> jpim, npd, modularity, modularization, team, product modularity, global npd, team learning, product architecture, creative performance
    <2007-2011.09 052> jpim, npd, creativity, modularity, product modularity, global npd, team, team learning, climate, planning
    <2008-2012.09 042> npd, jpim, team, climate, cohesiveness, alignment, strategic planning, information, product creativity, usage
    <2009-2013.09 046> npd, creativity, openness, team, climate, cohesiveness, project, strategic planning, information, alignment
    <2010-2014.08 195> npd, programme, portfolio, team, ppm, nuclear, change management, governance, openness, csfs
    <2011-2015.07 035> npd, team, marketing, creativity, npd portfolio, marketing department, team member, portfolio, strategic planning, information
    <2012-2016.12 057> npd, team, sustainability, creativity, npd portfolio, supplier, power, patent, marketing, marketing department
    <2013-2017.13 057> npd, licensing, sustainability, csfs, creativity, npd portfolio, supervision, licensee, npd success, project
    <2014-2018.15 048> npd, licensing, sustainability, npd portfolio, csfs, licensee, npd success, project, portfolio, solution information
    <2015-2019.14 032> npd, cycle time, supplier, npd success, crisis, npd portfolio, collective efficacy, opportunism, portfolio planning, solution information
    <2016-2020.08 049> npd, acap, strategic flexibility, cycle time, csc, sme, npd success, organizational memory, customer participation, interfirm

[D15] :: 2006-2010.05 -> 2007-2011.04 -> 2008-2012.06 -> 2009-2013.04 -> 2010-2014.06 -> 2011-2015.09 -> 2012-2016.08 -> 2013-2017.05 -> 2014-2018.06 -> 2015-2019.16 -> 2016-2020.17 -> 2017-2021.11 (105)
    <2006-2010.05 036> vcs, ipo, prestigious, board, underpricing, ceo, executive pay, founder, compensation, board effectiveness
    <2007-2011.04 084> family, governance, tmt, board, work family, relational governance, ceo, corporate governance, interdependence, asset specificity
    <2008-2012.06 130> family, ipo, amj, governance, tmt, work life, happiness, board, work family, underpricing
    <2009-2013.04 083> family, work engagement, governance, board, happiness, tmt, family involvement, work family, potency, ceo
    <2010-2014.06 056> family, tmt, family involvement, ceo, board, lone, tmt board, centrality, organizational identification, enrichment
    <2011-2015.09 062> family, tmt, entrepreneurial, family involvement, ceo, board, lone founder, university, career horizon, centrality
    <2012-2016.08 035> family, exit, entrepreneurial, family involvement, career horizon, enrichment, household, ups, centrality, noneconomic
    <2013-2017.05 037> family, exit, motivation, entrepreneurial, career horizon, intrinsic motivation, household, enrichment, wfi, ups
    <2014-2018.06 099> tmt, family, exit, ipo, retirement, ceo, pep, lgbt, activism, board
    <2015-2019.16 031> family, exit, sew, stewardship, founder, household, family business, tmt, nonfamily, noneconomic
    <2016-2020.17 121> family, park, stp, knowledge, knowledge management, knowledge integration, intrinsic motivation, organizational learning, seci, knowledge sharing
    <2017-2021.11 088> family, erp, knowledge, knowledge integration, intrinsic motivation, knowledge creation, motivation, knowledge sharing behaviour, erm, work family

[D16] :: 2006-2010.06 -> 2007-2011.04 -> 2008-2012.06 -> 2009-2013.04 -> 2010-2014.06 -> 2011-2015.09 -> 2012-2016.08 -> 2013-2017.05 -> 2014-2018.06 -> 2015-2019.16 -> 2016-2020.17 -> 2017-2021.11 (42)
    <2006-2010.06 053> tmt, family, governance, relational governance, corporate governance, interdependence, stewardship, tmt board, ceo, team
    <2007-2011.04 084> family, governance, tmt, board, work family, relational governance, ceo, corporate governance, interdependence, asset specificity
    <2008-2012.06 130> family, ipo, amj, governance, tmt, work life, happiness, board, work family, underpricing
    <2009-2013.04 083> family, work engagement, governance, board, happiness, tmt, family involvement, work family, potency, ceo
    <2010-2014.06 056> family, tmt, family involvement, ceo, board, lone, tmt board, centrality, organizational identification, enrichment
    <2011-2015.09 062> family, tmt, entrepreneurial, family involvement, ceo, board, lone founder, university, career horizon, centrality
    <2012-2016.08 035> family, exit, entrepreneurial, family involvement, career horizon, enrichment, household, ups, centrality, noneconomic
    <2013-2017.05 037> family, exit, motivation, entrepreneurial, career horizon, intrinsic motivation, household, enrichment, wfi, ups
    <2014-2018.06 099> tmt, family, exit, ipo, retirement, ceo, pep, lgbt, activism, board
    <2015-2019.16 031> family, exit, sew, stewardship, founder, household, family business, tmt, nonfamily, noneconomic
    <2016-2020.17 121> family, park, stp, knowledge, knowledge management, knowledge integration, intrinsic motivation, organizational learning, seci, knowledge sharing
    <2017-2021.11 088> family, erp, knowledge, knowledge integration, intrinsic motivation, knowledge creation, motivation, knowledge sharing behaviour, erm, work family

[D17] :: 2006-2010.06 -> 2007-2011.04 -> 2008-2012.06 -> 2009-2013.04 -> 2010-2014.08 -> 2011-2015.13 -> 2012-2016.16 -> 2013-2017.12 -> 2014-2018.14 -> 2015-2019.20 -> 2016-2020.19 -> 2017-2021.14 (56)
    <2006-2010.06 053> tmt, family, governance, relational governance, corporate governance, interdependence, stewardship, tmt board, ceo, team
    <2007-2011.04 084> family, governance, tmt, board, work family, relational governance, ceo, corporate governance, interdependence, asset specificity
    <2008-2012.06 130> family, ipo, amj, governance, tmt, work life, happiness, board, work family, underpricing
    <2009-2013.04 083> family, work engagement, governance, board, happiness, tmt, family involvement, work family, potency, ceo
    <2010-2014.08 195> npd, programme, portfolio, team, ppm, nuclear, change management, governance, openness, csfs
    <2011-2015.13 133> ppm, portfolio, stakeholder, change management, nuclear, governance, csfs, front end, risk management, agile
    <2012-2016.16 234> erp, lean, mncs, ppm, portfolio, stakeholder, change management, subsidiary, project, governance
    <2013-2017.12 173> erp, lean, ppm, portfolio, stakeholder, governmentality, project, risk management, accountability, project management
    <2014-2018.14 252> evm, ppm, erp, acap, portfolio, pms, stakeholder, knowledge protection, governmentality, project
    <2015-2019.20 221> ppm, erp, certification, megaprojects, pms, stakeholder, governmentality, sustainability, project, msr
    <2016-2020.19 134> ppm, storytelling, certification, megaprojects, sustainability, international development, stakeholder, accountability, project, msr
    <2017-2021.14 089> ppm, megaprojects, sustainability, international development, stakeholder, accountability, project, msr, spm, megaproject

[D18] :: 2006-2010.11 -> 2007-2011.11 -> 2008-2012.10 -> 2009-2013.07 -> 2010-2014.08 -> 2011-2015.13 -> 2012-2016.16 -> 2013-2017.12 -> 2014-2018.14 -> 2015-2019.20 -> 2016-2020.19 -> 2017-2021.14 (50)
    See similar trends: D4: 25%, D13: 75%
    <2006-2010.11 146> hrm, pmo, leadership, project, stakeholder, project management, project based, project strategy, multiple project, pmbok
    <2007-2011.11 161> ihrm, hrm, pmo, leadership, programme, project, programme management, distributed leadership, stakeholder, project management
    <2008-2012.10 129> rfid, scm, jit, tqm, crisis, lean, sscm, edi, ict, mixed
    <2009-2013.07 040> trm, ppm, roadmaps, front end, process development, roadmap, roadmapping, risk, risk management, relationship value
